"","continent","year","mean_gdpPercap","sd_gdpPercap","mean_pop","sd_pop","mean_gdp_billion","sd_gdp_billion"
"1","Africa",1952,1252.57246582115,982.952115538417,4570009.63461538,6317449.64213623,5.99229460761401,11.4363524453395
"2","Africa",1957,1385.23606225577,1134.5089183774,5093033.42307692,7076041.88277169,7.35918879646415,14.5002927223097
"3","Africa",1962,1598.07882484615,1461.83918875565,5702247.40384615,7957544.74477661,8.78487695753471,17.1796562494511
"4","Africa",1967,2050.36380085769,2847.71760343509,6447874.78846154,8985504.94096509,11.4439941010958,23.1886746364193
"5","Africa",1972,2339.61567419808,3286.8538840091,7305375.78846154,10130832.6050958,15.072241973925,30.396076771734
"6","Africa",1977,2585.93850846346,4142.39870672529,8328096.55769231,11585183.9177179,18.6948987316835,38.0589785820415
"7","Africa",1982,2481.59295975385,3242.6327527397,9602857.44230769,13456243.4383446,22.0404010445802,46.6051975062969
"8","Africa",1987,2282.66899125962,2566.53194679582,11054502.1153846,15277483.9584762,24.1072641075813,51.4089675623482
"9","Africa",1992,2281.81033324423,2644.07560232197,12674644.5576923,17562719.2790274,26.2569777186027,55.1328153415282
"10","Africa",1997,2378.75955510192,2820.728117107,14304480.4615385,19873013.4938651,30.0231738235568,63.0474065973695
"11","Africa",2002,2599.38515889038,2972.65130767007,16033152.2307692,22302996.9035314,35.3035114243848,72.8676194412093
"12","Africa",2007,3089.03260473654,3618.16349144035,17875763.3076923,24917726.1718184,45.7785708461791,92.2136033507233
"13","Americas",1952,4079.0625522,3001.72752163266,13806097.84,32341631.6487531,117.738997170521,436.965750624764
"14","Americas",1957,4616.04373316,3312.38108292101,15478156.64,35537059.3285282,140.817061264463,506.032239275469
"15","Americas",1962,4901.5418704,3421.74056877156,17330810.16,38876832.5657044,169.153069442098,598.188436402485
"16","Americas",1967,5668.25349604,4160.8855595904,19229864.92,41925591.0483,217.867530843846,769.501888465619
"17","Americas",1972,6491.33413904,4754.40432881002,21175368.4,44935462.1046512,268.159178813552,908.71863185945
"18","Americas",1977,7352.00712628,5355.60251825134,23122707.96,47904058.0208024,324.085389021826,1055.05557901875
"19","Americas",1982,7506.73708808,5530.49047115146,25211636.8,51294380.4672186,363.314008349519,1158.21436607462
"20","Americas",1987,7793.40026112,6665.03950872974,27310158.84,54459691.012826,439.447790356559,1446.63981067521
"21","Americas",1992,8044.93440552,7047.08919137503,29570964.16,58109222.4951059,489.899820623285,1636.19839918152
"22","Americas",1997,8889.30086256,7874.22514465829,31876016.4,62032822.9449223,582.693307145971,1942.61940130805
"23","Americas",2002,9287.67710732,8895.81778533521,33990910.48,65601546.9635133,661.248623419405,2239.27844977506
"24","Americas",2007,11003.03162536,9713.20930239591,35954847.36,68833781.1915513,776.723426068404,2573.37242559966
"25","Asia",1952,5195.48400403939,18634.8908654504,42283556.0909091,113226735.629068,34.0957626539685,66.6917222262466
"26","Asia",1957,5787.73293994242,19506.5159589662,47356987.8484849,128096097.162141,47.2674320884912,96.2540247874403
"27","Asia",1962,5729.36962477576,16415.857196395,51404763.0909091,136102691.589635,60.1368690119732,126.034156413444
"28","Asia",1967,5971.17337360606,14062.591362492,57747360.6060606,153341776.258165,84.6485192239975,190.198255643093
"29","Asia",1972,8187.46869944848,19087.5029184416,65180977.2121212,174094887.554463,124.385747312946,290.334209855047
"30","Asia",1977,7791.3140199303,11815.777923037,72257986.5454545,191707350.98807,159.802590186469,349.138296259181
"31","Asia",1982,7434.13515748485,8701.17649917184,79095017.6363636,206541516.895004,194.429049918946,426.371722120489
"32","Asia",1987,7608.2265077303,8090.26276537004,87006689.7575758,225733223.587835,241.784763369087,530.288590240697
"33","Asia",1992,8639.6902477303,9727.43108799162,94948248.2121212,244960393.390281,307.100497485716,660.00800023332
"34","Asia",1997,9834.09329524849,11094.180481033,102523803.030303,262349716.387161,387.597655322552,792.214195649019
"35","Asia",2002,10174.0903965788,11150.7192027005,109145521.30303,276701675.131336,458.04233617888,937.032100356838
"36","Asia",2007,12473.0268701333,14154.9373428805,115513752.333333,289673399.131401,627.513635079238,1343.51319776945
"37","Europe",1952,5661.05743476,3114.06049265532,13937361.5333333,17247450.1172429,84.9713414659788,129.988815054361
"38","Europe",1957,6963.01281593333,3677.95014597648,14596345.0333333,17832353.7674759,109.989505140249,170.698685064609
"39","Europe",1962,8365.4868143,4199.19390641838,15345171.8333333,18656417.8063142,138.984693095244,216.224738377962
"40","Europe",1967,10143.8237565333,4724.98388865093,16039298.6,19443588.736742,173.366641136877,259.273806178678
"41","Europe",1972,12479.5752464667,5509.69141095736,16687835.3,20180339.5428623,218.691462733244,321.481012699005
"42","Europe",1977,14283.9791096,5874.46489596902,17238817.7,20560544.3922335,255.367522033802,365.989135752982
"43","Europe",1982,15617.8965512333,6453.23482661465,17708896.7,20971292.6654279,279.484077071808,398.993438427828
"44","Europe",1987,17214.3107266333,7482.95796003972,18103138.6666667,21369711.3860149,316.507473545746,452.939180654981
"45","Europe",1992,17061.5680842,9109.80436105703,18604759.9,22126736.3224079,342.703247405232,513.132094625677
"46","Europe",1997,19076.7818016,10065.4577161932,18964804.9333333,22748145.0399148,383.606933832974,561.272054403605
"47","Europe",2002,21711.7324224333,11197.3555167025,19274128.9666667,23223690.8448175,436.448815096644,628.827287468527
"48","Europe",2007,25054.4816359333,11800.3398108881,19536617.6333333,23624743.6555637,493.183311051833,677.646361095216
"49","Oceania",1952,10298.08565,365.560077879958,5343003,4735082.57745966,54.1572239443149,46.8090973497095
"50","Oceania",1957,11598.522455,917.644805938885,5970988,5291394.59491749,66.826828013436,55.8931129028927
"51","Oceania",1962,12696.45243,677.727300529976,6641759,5873524.49517,82.3364532446703,70.071622951525
"52","Oceania",1967,14495.02179,43.9860864405916,7300207,6465865.01734285,105.958863585294,94.0439618537195
"53","Oceania",1972,16417.33338,525.091980276236,8053050,7246359.58292162,134.112109227404,123.194493035946
"54","Oceania",1977,17283.957605,1485.26351739643,8619500,7713969.29732028,154.707711162111,146.130147189354
"55","Oceania",1982,18554.70984,1304.32837661711,9197425,8466578.39987619,176.177151380068,169.091367966622
"56","Oceania",1987,20448.04016,2037.66801328395,9787207.5,9150020.43841676,209.451563998381,207.04306505169
"57","Oceania",1992,20894.045885,3578.97988300066,10459825.5,9930821.88833857,236.319179826106,244.930553254906
"58","Oceania",1997,24024.17517,4205.5337031416,11120715,10528152.4630663,289.304255183266,299.698720724703
"59","Oceania",2002,26938.77804,5301.85368001859,11727414.5,11058269.709815,345.236880176388,360.073308943091
"60","Oceania",2007,29810.188275,6540.99110354847,12274973.5,11538854.8336485,403.657044511652,424.265927528748
