Case,Beds,Baths,New,Price,Size
1,4,2,0,240000,2790
2,3,2,1,289900,2075
3,4,2,0,179000,2510
4,4,3,1,285000,2650
5,3,2,0,163000,1710
6,2,1,0,81000,980
7,2,2,1,908500,1250
8,3,2,0,118600,1250
9,2,2,0,94300,860
10,4,2,0,188000,2300
11,3,2,1,180000,1840
12,3,2,0,121300,1270
13,4,2,0,237700,1654
14,4,2,0,279900,2048
15,3,2,0,103000,1590
16,3,2,0,81900,1080
17,2,1,0,125000,1110
18,3,3,0,381000,2581
19,3,2,0,137000,1420
20,3,2,0,70000,1160
21,3,2,0,86000,1580
22,5,4,0,587000,3990
23,3,2,0,196500,1730
24,3,1,0,1.00E+05,1250
25,3,2,0,69900,1010
26,3,1,0,45000,1060
27,3,2,0,103000,1520
28,3,2,0,137000,1380
29,3,3,1,354900,2745
30,4,2,0,160000,1880
31,3,2,1,499900,3153
32,3,2,0,85000,1430
33,3,2,0,160000,1500
34,3,2,0,124900,1770
35,3,2,0,136500,1500
36,3,2,0,146500,1480
37,2,2,0,127000,940
38,2,2,0,123000,940
39,3,1,0,87000,1030
40,3,2,0,265500,1355
41,3,1,0,86500,1350
42,3,1,0,1.00E+05,1250
43,3,2,0,140000,1390
44,3,2,0,64500,1220
45,2,1,0,142500,1170
46,2,1,0,21000,580
47,2,1,0,90500,820
48,3,2,1,105900,1200
49,3,2,0,69000,1120
50,2,3,0,148000,1550
51,4,2,0,176000,2000
52,3,2,0,85000,1410
53,3,2,0,88400,1560
54,3,2,0,183000,2020
55,3,2,0,2.00E+05,2068
56,3,2,0,109300,1120
57,5,3,0,118300,2200
58,2,2,0,89900,1280
59,3,2,0,69000,1120
60,4,2,0,147000,1860
61,2,2,0,50000,860
62,3,2,0,434000,2891
63,3,2,0,114600,1380
64,3,2,1,162600,1470
65,2,1,0,130000,1340
66,3,3,0,225000,4050
67,3,2,0,131500,1900
68,2,2,0,60000,1640
69,2,2,1,156900,1590
70,2,1,0,70000,770
71,3,2,0,167000,1690
72,3,2,0,1.00E+05,1360
73,3,2,0,145000,1240
74,3,2,0,167500,1920
75,3,3,1,338000,3110
76,3,1,0,22500,1060
77,3,1,0,101000,1050
78,3,2,0,69900,1150
79,4,3,0,2.00E+05,2430
80,3,2,0,183000,2030
81,3,1,0,93900,1230
82,3,2,0,144900,1520
83,3,2,0,137000,1620
84,3,2,0,127200,1340
85,4,3,1,577500,3949
86,4,2,0,85000,1410
87,4,2,0,165000,1140
88,2,2,0,90000,1300
89,3,2,0,151800,2150
90,4,3,0,124500,1720
91,3,2,0,132200,1370
92,2,2,0,176000,1060
93,2,1,0,146500,912
94,3,2,0,140000,1520
95,3,2,0,125000,1380
96,3,2,0,133000,1500
97,2,1,0,91200,1350
98,3,2,1,250000,2120
99,4,2,0,130000,1760
100,3,2,0,140000,1760
101,3,3,0,159900,1477
